difficulty,question,option1,option2,option3,option4,answer
medium,Which language has most native speakers?,English,Mandarin,Spanish,Hindi,Mandarin
medium,Who invented telephone?,Newton,Bell,Edison,Tesla,Bell
hard,Most abundant element in universe?,Oxygen,Hydrogen,Helium,Carbon,Hydrogen
hard,Who developed general relativity?,Newton,Einstein,Tesla,Bohr,Einstein
hard,Deepest ocean point?,Mariana Trench,Puerto Rico Trench,Java Trench,Tonga Trench,Mariana Trench
hard,Largest desert?,Sahara,Arctic,Gobi,Antarctic,Antarctic
hard,Smallest bone in body?,Femur,Stapes,Ulna,Tibia,Stapes
hard,Longest river in world?,Amazon,Nile,Yangtze,Mississippi,Nile
hard,Atomic number of oxygen?,6,7,8,9,8
hard,Python creator?,Guido van Rossum,Linus Torvalds,James Gosling,Dennis Ritchie,Guido van Rossum
hard,Year of French Revolution?,1789,1776,1804,1799,1789
hard,Speed of light?,"300,000 km/s","150,000 km/s",1 million km/s,"30,000 km/s","300,000 km/s"
hard,Who wrote '1984'?,Orwell,Huxley,Bradbury,Asimov,Orwell
hard,Heaviest naturally occurring element?,Uranium,Plutonium,Lead,Gold,Uranium
hard,First computer programmer?,Babbage,Lovelace,Turing,Hopper,Lovelace
hard,Square root of 256?,12,14,16,18,16
hard,Capital of Mongolia?,Beijing,Ulaanbaatar,Seoul,Bangkok,Ulaanbaatar
hard,Longest river in world?,Amazon,Nile,Yangtze,Mississippi,Nile
hard,Atomic number of oxygen?,6,7,8,9,8
hard,Year of French Revolution?,1789,1776,1804,1799,1789
hard,Speed of light?,"300,000 km/s","150,000 km/s",1 million km/s,"30,000 km/s","300,000 km/s"
hard,Who developed general relativity?,Newton,Einstein,Tesla,Bohr,Einstein
hard,Heaviest naturally occurring element?,Uranium,Plutonium,Lead,Gold,Uranium
hard,Deepest ocean point?,Mariana Trench,Puerto Rico Trench,Java Trench,Tonga Trench,Mariana Trench
hard,First computer programmer?,Babbage,Lovelace,Turing,Hopper,Lovelace
hard,Smallest bone in body?,Femur,Stapes,Ulna,Tibia,Stapes
hard,Python creator?,Guido van Rossum,Linus Torvalds,James Gosling,Dennis Ritchie,Guido van Rossum
hard,Who wrote '1984'?,Orwell,Huxley,Bradbury,Asimov,Orwell
hard,Most abundant element in universe?,Oxygen,Hydrogen,Helium,Carbon,Hydrogen
hard,Square root of 256?,12,14,16,18,16
hard,Capital of Mongolia?,Beijing,Ulaanbaatar,Seoul,Bangkok,Ulaanbaatar
hard,Largest desert?,Sahara,Arctic,Gobi,Antarctic,Antarctic
hard,Speed of light?,"300,000 km/s","150,000 km/s",1 million km/s,"30,000 km/s","300,000 km/s"
hard,Who wrote '1984'?,Orwell,Huxley,Bradbury,Asimov,Orwell
hard,Python creator?,Guido van Rossum,Linus Torvalds,James Gosling,Dennis Ritchie,Guido van Rossum
hard,Square root of 256?,12,14,16,18,16
hard,Largest desert?,Sahara,Arctic,Gobi,Antarctic,Antarctic
hard,Year of French Revolution?,1789,1776,1804,1799,1789
hard,Deepest ocean point?,Mariana Trench,Puerto Rico Trench,Java Trench,Tonga Trench,Mariana Trench
hard,Capital of Mongolia?,Beijing,Ulaanbaatar,Seoul,Bangkok,Ulaanbaatar
hard,Heaviest naturally occurring element?,Uranium,Plutonium,Lead,Gold,Uranium
hard,First computer programmer?,Babbage,Lovelace,Turing,Hopper,Lovelace
hard,Most abundant element in universe?,Oxygen,Hydrogen,Helium,Carbon,Hydrogen
hard,Longest river in world?,Amazon,Nile,Yangtze,Mississippi,Nile
hard,Smallest bone in body?,Femur,Stapes,Ulna,Tibia,Stapes
hard,Atomic number of oxygen?,6,7,8,9,8
hard,Who developed general relativity?,Newton,Einstein,Tesla,Bohr,Einstein
hard,Atomic number of oxygen?,6,7,8,9,8
hard,Largest desert?,Sahara,Arctic,Gobi,Antarctic,Antarctic
hard,Deepest ocean point?,Mariana Trench,Puerto Rico Trench,Java Trench,Tonga Trench,Mariana Trench
hard,Capital of Mongolia?,Beijing,Ulaanbaatar,Seoul,Bangkok,Ulaanbaatar
hard,Python creator?,Guido van Rossum,Linus Torvalds,James Gosling,Dennis Ritchie,Guido van Rossum
